62,"13,9,8",AlFO,aluminium monofluoride monoxide,3/30/2022 9:01,3/30/2022 9:01
63,"13,9",AlF2,aluminium difluoride,3/30/2022 9:01,3/30/2022 9:01
64,"13,9,8",AlF2O,aluminium difluoride oxide,3/30/2022 9:01,3/30/2022 9:01
65,"13,9",AlF3,aluminium trifluoride,3/30/2022 9:01,3/30/2022 9:01
66,"13,9,19",AlF4K,potassium tetrafluoroaluminate,3/30/2022 9:01,3/30/2022 9:01
67,"13,9,3",AlF4Li,lithium tetrafluoroaluminate,3/30/2022 9:01,3/30/2022 9:01
68,"13,9,19",AlF6K3,potassium hexafluoraluminate,3/30/2022 9:01,3/30/2022 9:01
69,"13,9,3",AlF6Li3,lithium hexafluoroaluminate,3/30/2022 9:01,3/30/2022 9:01
70,"13,9,11",AlF6Na3,cryolite,3/30/2022 9:01,3/30/2022 9:01
71,"13,31,49,15",AlGaInP,aluminium-gallium-indium phosphide,3/30/2022 9:01,3/30/2022 9:01
72,"13,8,1",Al(OH)3,aluminium hydroxide,3/30/2022 9:01,3/30/2022 9:01
73,"13,53",AlI,aluminium monoiodide,3/30/2022 9:01,3/30/2022 9:01
74,"13,53",AlI3,aluminium triiodide,3/30/2022 9:01,3/30/2022 9:01
75,"13,3,8",AlLiO2,lithium aluminate,3/30/2022 9:01,3/30/2022 9:01
76,"13,7",AlN,aluminium nitride,3/30/2022 9:01,3/30/2022 9:01
77,"13,7,8",Al(NO3)3,aluminium nitrate,3/30/2022 9:01,3/30/2022 9:01
78,"13,11,8",AlNaO2,sodium aluminate,3/30/2022 9:01,3/30/2022 9:01
79,"13,8",AlO,aluminium monoxide,3/30/2022 9:01,3/30/2022 9:01
80,"13,8,14",AlOSi,aluminium silicon monoxide,3/30/2022 9:01,3/30/2022 9:01
81,"13,8",AlO2,Aluminium(IV) oxide,3/30/2022 9:01,3/30/2022 9:01
82,"13,15",AlP,aluminium monophosphide,3/30/2022 9:01,3/30/2022 9:01
83,"13,15,8",AlPO4,aluminium phosphate,3/30/2022 9:01,3/30/2022 9:01
84,"13,52",AlTe,aluminium monotelluride,3/30/2022 9:01,3/30/2022 9:01
85,"13,52",AlTe2,monoaluminium ditelluride,3/30/2022 9:01,3/30/2022 9:01
86,"13,4,8",Al2BeO4,beryllium aluminium oxide,3/30/2022 9:01,3/30/2022 9:01
87,"13,35",Al2Br6,dialuminium hexabromide,3/30/2022 9:01,3/30/2022 9:01
88,"13,6,8",Al2(CO3)3,aluminium carbonate,3/30/2022 9:01,3/30/2022 9:01
89,"13,17,19",Al2Cl9K3,potassium aluminium chloride,3/30/2022 9:01,3/30/2022 9:01
90,"13,27,8",Al2CoO4,cobalt blue,3/30/2022 9:01,3/30/2022 9:01
